Event Type,State,City,Location,Property Type,Authorship 1,Authorship 2,Fatal Victims,Injured,Source,Lat,Lon,Address
Quema de Vehículos,Magdalena,Ciénaga,Vía Ciénaga - Fundación,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 2. Pp. 105,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Quema de Vehículos,Magdalena,Ciénaga,Vía Ciénaga - Fundación,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 2. Pp. 133,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Quema de Vehículos,Magdalena,Ciénaga,Corregimiento Río Frío - Vía Bucaramanga - Barranquilla,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 3. Pp. 107,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Masacre,Magdalena,Ciénaga,Caserío Santa Rosalía,Mercancia u objetos materiales,Grupos Paramilitares,Grupos Paramilitares,,,"Noche y Niebla # 4 Pp. 35 En Deuda con la Humanidad. Paramilitarismo de EsTadó en Colombia 1988-2003 Versión Libre Adán Rojas Mendoza- alias ""El Negro""- 9 de Octubre de 2009",11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Asesinato Selectivo,Magdalena,Ciénaga,Corregimiento Tucurinca,Establecimiento Comercial,Grupos Paramilitares,Grupos Paramilitares, ,,Noche y Niebla # 4 Pp. 37,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Asesinato Selectivo,Magdalena,Ciénaga,Corregimiento Guacamayal,Vivienda,Grupos Paramilitares,Grupos Paramilitares, ,,Noche y Niebla # 4 Pp. 38 En Deuda con la Humanidad. Paramilitarismo de EsTadó en Colombia 1988-2003,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Asesinato Selectivo-Quema de Vehículos,Magdalena,Ciénaga,Corregimiento San Pedro de la Sierra,Medio de Transporte,Grupos Paramilitares,Grupos Paramilitares, ,,Noche y Niebla # 5 Pp. 47,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Ataque a Propiedad,Magdalena,Ciénaga,Corregimiento Orihueca,Mercancías u objetos materiales,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 5. Pp. 133,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Ataque a Propiedad,Magdalena,Ciénaga,Vereda La Aguja,Infraestructura Empresarial,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 5. Pp. 133,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Quema de Vehículos,Magdalena,Ciénaga,Sitio Portón de Morán,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 5. Pp. 134,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Quema de Vehículos,Magdalena,Ciénaga,Sitio San Pablo,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 5. Pp. 134,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Ataque a Propiedad,Magdalena,Ciénaga,Zona Rural,Infraestructura Empresarial,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 6. Pp. 98 - 99,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Quema de Vehículos,Magdalena,Ciénaga,Sitio El Portón de Morán,Medios de Transporte,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 6. Pp. 99,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Masacre,Magdalena,Ciénaga,Corregimientos Riofrío y Sevillano,Vivienda-Mercancia o objetos materiales,Grupos Paramilitares,Grupos Paramilitares,,,"Noche y Niebla # 6 Pp. 39 Versión Libre de Salvatore Mancuso el 16 de Enero de 2007 Deuda con la Humanidad. Paramilitarismo de EsTadó en Colombia 1988-2003 Versión Libre Rodrigo Tovar Pupo, alias ""Jorge 40"". Barranquilla, 9 de Julio de 2009 Unidad de Justicia y Paz. Masacres en el Magdalena",11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Quema de Vehículos,Magdalena,Ciénaga,Vía al corregimiento Sevilla - Sitio El Portón de Morán,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 7 y 8. Pp. 68,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Quema de Vehículos,Magdalena,Ciénaga,Vía a Santa Marta,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 7 y 8. Pp. 147,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,Corregimiento Sevilla - Sitio La Bodega ,Mercancía ,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 9. Pp. 92,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Ataque a Propiedad,Magdalena,Ciénaga,Corregimiento Sevilla,Infraestructura Empresarial,Guerrilla,Guerrilla-ELN,,,Noche y Niebla #10. Pp. 42,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Ataque a Propiedad,Magdalena,Ciénaga,Corregimiento Guamachito,Infraestructura Empresarial,Guerrilla,Guerrilla-FARC,,,Noche y Niebla #11. Pp. 36,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Quema de Vehículos,Magdalena,Ciénaga,Vía a Fundación - Km 62,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla #11. Pp. 36,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Asesinato Selectivo-Ataque a Propiedad,Magdalena,Ciénaga,Corregimiento Guacamayal,Propiedad Rural,Grupos Paramilitares,Grupos Paramilitares, ,,Noche y Niebla # 12 Pp. 70,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,Corregimiento Orihueca - Sitio Quebrada Orihueca,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,Noche y Niebla #12. Pp. 96,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,Corregimiento Tucurinca,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,Noche y Niebla #14. Pp. 76,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Ataque a Propiedad,Magdalena,Ciénaga,Cabecera Municipal,Infraestructura Empresarial,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 15 Febrero Pp. 1,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,Corregimiento Guacamayal,Infraestructura Víal,Guerrilla,Guerrilla-FARC,,,Revista Noche y Niebla # 15 Febrero Pp. 1,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Quema de Vehículos,Magdalena,Ciénaga,Sitio Quebrada La Tigra,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 16 Abril  Pp. 52,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje-Quema de Vehículos,Magdalena,Ciénaga,Vía Cienaga-Fundación,Infraestructura Víal-Medios de Transporte,Guerrilla,Guerrilla-ELN, ,,Revista Noche y Niebla # 17 Agosto Pp. 125,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje-Quema de Vehículos,Magdalena,Ciénaga,Corregimiento de Tucurinca,Medios de Transporte - Infraestructura Enérgetica,Guerrilla,Guerrilla-FARC, ,,Revista Noche y Niebla # 17 Agosto Pp. 167,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,Corregimiento Tucurinca,Infraestructura Víal,Guerrilla,Guerrilla No Identificada, ,,Revista Noche y Niebla # 17 Septiembre Pp. 187,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,Corregimiento Tucurinca,Infraestructura Víal,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 20 Pp. 57,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Asesinato Selectivo,Magdalena,Ciénaga,Corregimiento La Gran Vía,Vivienda,Grupos Paramilitares,Grupos Paramilitares, ,,"Revista Noche y Niebla # 20  Abril - Junio  2001, Página 128",11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,Corregimento Riofrío,Infraestructura Energética,Guerrilla,Guerrilla-FARC,,2, Noche y Niebla # 20 Pp. 192,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Quema de Vehículos,Magdalena,Ciénaga,Sitio Puente La Aguja,Medios de Transporte,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 20 Pp. 201,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,,Inrfraestructura Víal,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 21 Pp. 174,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Quema de Vehículos,Magdalena,Ciénaga,Sitio Variante de Fundación,Medios de Transporte,Guerrilla,Guerrilla-FARC/ELN,,, Noche y Niebla # 22 Pp. 59,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,,Infraestructura Energética,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 22 Pp. 78,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,Sector Prado Sevilla,Infraestructura Energética,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 22 Pp. 82,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Asesinato Selectivo,Magdalena,Ciénaga,Caserío Santa Rosalía,Medio de Transporte,Grupo Armado No Identificado,Grupo Armado No Identificado, ,,"Revista Noche y Niebla # 22 Octubre - Diciembre  2001, Página 103",11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,Corregimiento Orihueca - Vereda Iberia,Infraestructura Energética,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 23 Pp. 82,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,Corregimiento Orihueca,Infraestructura Energética,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 23 Pp. 101,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Quema de Vehículos,Magdalena,Ciénaga,Corregimiento Sevilla - Sitio La Ceiba,Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 24 Pp. 65,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,Sitio El Paso del Volcán,Infraestructura Energética,Guerrilla,Guerrilla No Identificada,,, Noche y Niebla # 24 Pp. 116,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,Sitio El Manantial,Infraestructura Energética (Oleoducto),Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 24 Pp. 117,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Quema de Vehículos,Magdalena,Ciénaga,Corregimiento Tucurinca,Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 26 Pp. 45,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Sabotaje,Magdalena,Ciénaga,Corregimiento Guamachito,Infraestructura Energética,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 26 Pp. 76,11.007984,-74.248926,"Ciénaga, Ciénaga, Magdalena, Colombia"
Ataque a Propiedad,Córdoba,Ciénaga de Oro,Cabecera Municipal,Vivieda Urbana,Grupos Paramilitares,Grupos Paramilitares,,, Noche y Niebla # 41 Pp. 135,8.879215,-75.621332,"Ciénaga de Oro, Ciénaga de Oro, Cordoba, Colombia"
Quema de Vehículos,Santander,Cimitarra,Ruta Bucaramanga-Puerto Berrío,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 34",6.315209,-73.9489059,"Cimitarra, Cimitarra, Santander Department, Colombia"
Quema de Vehículos,Santander,Cimitarra,Vereda La Siberia,Medios de Transporte (Bus de Servicio Público) ,Grupo Armado No Identificado,Grupo Armado No Identificado,,,Justicia y Paz Vol 7 #2,6.315209,-73.9489059,"Cimitarra, Cimitarra, Santander Department, Colombia"
Quema de Vehículos,Santander,Cimitarra,IP Puerto Araujo ,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 9. Pp. 53,6.315209,-73.9489059,"Cimitarra, Cimitarra, Santander Department, Colombia"
Sabotaje,Santander,Cimitarra,IP Puerto Araujo - Sitio Aguas Blancas,Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 33 Pp. 65,6.315209,-73.9489059,"Cimitarra, Cimitarra, Santander Department, Colombia"
Ataque a Propiedad,Antioquia,Cisneros,Cabecera Municipal,Infraestructura Empresarial,Guerrilla,Guerrilla-CGSB,,,Boletín Justicia y Paz Vol 5 No 2 Pp. 75,6.538376,-75.087067,"Cisneros, Cisneros, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Cisneros,Cabecera Municipal,Entidad Bancaria,Guerrilla,Guerrilla-CGSB,,,Justicia y Paz Vol 5 #4,6.538376,-75.087067,"Cisneros, Cisneros, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cisneros,Sitio El Palmar,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 9 #1. Pp. 74",6.538376,-75.087067,"Cisneros, Cisneros, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cisneros,Sitio Las Lajas,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 16 Abril  Pp. 51,6.538376,-75.087067,"Cisneros, Cisneros, Antioquia, Colombia"
Sabotaje,Antioquia,Cocorná,,Infraestructura Vial,Guerrilla,Guerrilla-Sin Identificar,,,"Boletin Informativo Justicia y Paz, Volumen 3 #1. Pp. 27",6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Sabotaje,Antioquia,Cocorná,,Infraestructura Vial,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 3 #1. Pp. 27",6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Sitio La Mañosa,Medios de Transporte-Mercancías u objetos materiales,Guerrilla,Guerrilla-ELN,,,"Boletín Informativo Justicia y Paz. Volumen 4, #4. PP. 80",6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Sabotaje,Antioquia,Cocorná,,Infraestructura Eléctrica,Guerrilla,Guerrilla No Identificada,,,Justicia y Paz Vol 5 #3,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Sitio El Tesoro,Medios de Transporte,Guerrilla,Guerrilla-EPL,,,Justicia y Paz Vol 5 #3,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Zona Rural,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Zona Rural,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Acciones Bélicas-Ataque a Instituciones,Antioquia,Cocorná,Cabecera Municipal,Entidades Públicas,Guerrilla,Guerrilla-CGSB,,,,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Sabotaje,Antioquia,Cocorná,,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #3,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Ataque a Propiedad,Antioquia,Cocorná,Vereda Mazotes,Propiedad Rural,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #4,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Sabotaje,Antioquia,Cocorná,Zona rural,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 8 #3. Pp. 80",6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz, Volumen 9 #2. Pp. 32",6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Autopista Medellín - Bogotá D.C.,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 3. Pp. 92,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Sitio La Mañosa,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 6. Pp. 100,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Acciones Bélicas-Ataque a Instituciones,Antioquia,Cocorná,Cabecera Municipal,Entidades Públicas/Vivienda/Establecimiento comercial,Guerrilla,Guerrilla-ELN,,,,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Asesinato Selectivo-Quema de Vehículos,Antioquia,Cocorná,Vereda San Lorenzo,Medio de Transporte,Guerrilla,Guerrilla-ELN, ,,Noche y Niebla # 9 Pp. 88,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Asesinato Selectivo-Quema de Vehículos,Antioquia,Cocorná,IP La Piñuela,Medio de Transporte,Guerrilla,Guerrilla-ELN, ,,Noche y Niebla # 10 Pp. 29,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Acciones Bélicas-Ataque a Instituciones,Antioquia,Cocorná,Cabecera Municipal,Entidades Públicas/Viviendas,Guerrilla,Guerrilla-FARC y ELN,,,,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Sitio La Beta - Vía Medellín-Bogotá D.C.,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 15 enero Pp. 8,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,IP La Piñuela - Vía Medellín-Bogotá D.C.,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 15 enero Pp. 13,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Sitio La Mañosa,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 15 enero Pp. 27,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Sabotaje,Antioquia,Cocorná,Vía Cocorná - San Francismo,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 16 Abril  Pp. 72,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Sitio Sol de Oriente - Vía Medellín-Bogotá D.C.,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Revista Noche y Niebla # 17 Septiembre Pp. 202,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Cabecera Municipal,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 18 Noviembre Pp. 130,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Asesinato Selectivo,Antioquia,Cocorná,Vereda San Juan y Sitio La Cancha,Medio de Transporte,Guerrilla,Guerrilla-ELN, ,,Noche y Niebla # 18 Pp. 177,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Sitio Sol de Oriente,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 18 Diciembre Pp. 177,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Sabotaje,Antioquia,Cocorná,Autopista Medellín - Bogotá D.C.,Medios de Transporte,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 19 Pp. 138,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Autopista Medellín - Bogotá D.C.. Sitio El Descanso,Medios de Transporte,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 20 Pp. 200,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Sitio La Gallinita,Medios de Transporte,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 20 Pp. 204,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,IP La Piñuela,Medios de Transporte,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 21 Pp. 97,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Sabotaje,Antioquia,Cocorná,Sitio Alto Bonito,Medios de Transporte,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 21 Pp. 103,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,IP La Piñuela,Medios de Transporte,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 21 Pp. 113,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Sabotaje,Antioquia,Cocorná,Sitio La Dinamita,Infraestructura Víal,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 22 Pp. 82,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Vía Medellín - Bogotá D.C.. Sitio El Descanso,Medios de Transporte,Guerrilla,Guerrilla-ELN,,, Noche y Niebla # 24 Pp. 46,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Acciones Bélicas,Antioquia,Cocorná,Cabecera Municipal,Vivienda/Establecimiento Comercial,Guerrilla,Guerrilla-FARC,,,,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Ataque a Instituciones,Antioquia,Cocorná,Cabecera Municipal,Entidades Públicas,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 24 Pp. 78,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Sabotaje,Antioquia,Cocorná,Zona Rural,Infraestructura Eléctrica,Guerrilla,Guerrilla No Identificada,,, Noche y Niebla # 27 Pp. 31,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Masacre,Antioquia,Cocorná,Corregimiento El Molino,Vivienda,Fuerza Pública-Grupos Paramilitares,Grupos Paramilitares-Ejército Nacional,,,Noche y Niebla # 36 Actualizaciones,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Sabotaje,Antioquia,Cocorná,Cabecera Municipal,Infraestructura Eléctrica,Guerrilla,Guerrilla No Identificada,,, Noche y Niebla # 27 Pp. 260,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Asesinato Selectivo,Antioquia,Cocorná,Vereda La Inmaculada,Vivienda Urbana,Fuerza Pública,Ejército Nacional,,,Banco de Datos de Derechos Humanos y Violencia Política del CINEP,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná,Vereda El Retiro,Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 35 Pp. 277,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná ,Sitio Calderas,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 7 y 8. Pp. 65,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná ,Sitio La Moñosa,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 7 y 8. Pp. 147,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná ,Vía Medellín - Bogotá D.C. - Sitio La Diamantina,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla #12. Pp. 46,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Quema de Vehículos,Antioquia,Cocorná ,Sitio La Mañosa,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla #13. Pp. 135 - 136,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Sabotaje,Antioquia,Cocorná ,,Infraestructura Eléctrica,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla #14. Pp. 111,6.057265,-75.185598,"Cocorná, Cocorná, Antioquia, Colombia"
Acciones Bélicas-Asesinato Selectivo,Huila,Colombia,Cabecera Municipal,Lugares de Culto/ Entidad Bancaria/ Entidades Públicas/Vivienda,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 17 Pp. 67,3.376614,-74.802472,"Colombia, Colombia, Huila, Colombia"
Masacre,Huila,Colombia,IPD Potrero Grande,Vivienda,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 23 Pp. 38,3.376614,-74.802472,"Colombia, Colombia, Huila, Colombia"
Asesinato Selectivo,Huila,Colombia,IP Potrero Grande-Vereda Altamira de Baraya-Sitio El Mirador,Vivienda,Guerrilla,Guerrilla-FARC, ,,Noche y Niebla # 23 Pp. 53,3.376614,-74.802472,"Colombia, Colombia, Huila, Colombia"
Asesinato Selectivo,Huila,Colombia,Vereda Zaragoza,Vivienda Urbana,Grupos Paramilitares,Grupos Paramilitares,,,Noche y Niebla # 28 Pp. 30,3.376614,-74.802472,"Colombia, Colombia, Huila, Colombia"
Acciones Bélicas-Ataque a Instituciones,Nariño,Colón (Genova),Cabecera Municipal,Entidades Públicas,Guerrilla,Guerrilla-ELN,,,,1.6431036,-77.0192822,"Génova, Colón, Nariño, Colombia"
Acciones Bélicas,Nariño,Colón (Genova),Cabecera Municipal,Vivienda,Guerrilla,Guerrilla-FARC,,,,1.6431036,-77.0192822,"Génova, Colón, Nariño, Colombia"
Acciones Bélicas,Sucre,Coloso,Cabecera Municipal,Vivienda,Guerrilla,Guerrilla-FARC,,,,9.4909459,-75.355767,"Colosó, Colosó, Sucre, Colombia"
Ataque a Propiedad,Sucre,Coloso,Zona Rural,Propiedad Rural,Guerrilla,Guerrilla-Sin Identificar,,,"Boletin Informativo Justicia y Paz, Volumen 9 #2. Pp. 59",9.4909459,-75.355767,"Colosó, Colosó, Sucre, Colombia"
Quema de Vehículos,Sucre,Coloso,Vía al Corregimiento Chinulito,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 9. Pp. 57,9.4909459,-75.355767,"Colosó, Colosó, Sucre, Colombia"
