Tipo de evento,Departamento,Municipio,Corregimiento,Año,Mes,Evento,COD_DANE_MUNI,COD_DANE_DEPTO,Tipo de lugar,Tipo de area,Rotulo
Accidente por MAP,NORTE DE SANTANDER,LA PLAYA,LA PLAYA,2010,1,Accidente,54398,54,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,LA PLAYA,LA PLAYA,2003,5,Accidente,54398,54,,Rural,1
Accidente por MAP,PUTUMAYO,VALLE DEL GUAMUEZ,LA HORMIGA,2008,8,Accidente,86865,86,,Rural,1
Accidente por MAP,PUTUMAYO,VALLE DEL GUAMUEZ,LA HORMIGA,2008,8,Accidente,86865,86,,Rural,1
Accidente por MAP,META,VISTAHERMOSA,VISTAHERMOSA,2009,3,Accidente,50711,50,,Rural,1
Accidente por MAP,META,VISTAHERMOSA,VISTAHERMOSA,2010,3,Accidente,50711,50,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,HACARÍ,HACARÍ,2010,3,Accidente,54344,54,,Rural,1
Accidente por MAP,HUILA,ISNOS,SAN JOSÉ DE ISNOS,2010,3,Accidente,41359,41,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,ÁBREGO,ÁBREGO,2010,3,Accidente,54003,54,Camino,Rural,1
Accidente por MAP,NORTE DE SANTANDER,HACARÍ,HACARÍ,2010,4,Accidente,54344,54,,Rural,1
Accidente por MAP,CAUCA,CORINTO,CORINTO,2010,4,Accidente,19212,19,Sendero,Rural,1
Accidente por MAP,ARAUCA,TAME,TAME,2010,4,Accidente,81794,81,Canos,Rural,1
Accidente por MAP,NORTE DE SANTANDER,ÁBREGO,ÁBREGO,2010,4,Accidente,54003,54,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,ÁBREGO,ÁBREGO,2010,4,Accidente,54003,54,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,HACARÍ,HACARÍ,2010,4,Accidente,54344,54,,Rural,1
Accidente por MAP,ARAUCA,ARAUQUITA,ARAUQUITA,2010,4,Accidente,81065,81,,Rural,1
Accidente por MAP,ANTIOQUIA,URRAO,LA ENCARNACIÓN,2010,4,Accidente,5847,5,Cerros,Rural,1
Accidente por MAP,VALLE DEL CAUCA,FLORIDA,FLORIDA,2010,4,Accidente,76275,76,,Rural,1
Accidente por MAP,ANTIOQUIA,VALDIVIA,VALDIVIA,2010,4,Accidente,5854,5,,Rural,1
Accidente por MAP,NARIÑO,EL ROSARIO,EL ROSARIO,2010,1,Accidente,52256,52,,Rural,1
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2009,7,Accidente,52678,52,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,SAN CALIXTO,SAN CALIXTO,2010,4,Accidente,54670,54,,Rural,1
Accidente por MAP,VALLE DEL CAUCA,TULUÁ,TULUÁ,2010,4,Accidente,76834,76,,Rural,1
Accidente por MAP,CAQUETA,SOLANO,SOLANO,2010,4,Accidente,18756,18,,Rural,1
Accidente por MAP,VALLE DEL CAUCA,FLORIDA,FLORIDA,2010,4,Accidente,76275,76,Sendero,Rural,1
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2010,4,Accidente,52678,52,,Rural,1
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,4,Accidente,5790,5,,Rural,1
Accidente por MAP,META,MESETAS,MESETAS,2010,4,Accidente,50330,50,,Rural,1
Accidente por MAP,ANTIOQUIA,ITUANGO,ITUANGO,2010,4,Accidente,5361,5,Camino,Rural,1
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2010,4,Accidente,52678,52,Cerros,Rural,1
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2008,3,Accidente,52678,52,,Rural,1
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2010,4,Accidente,52678,52,,Rural,1
Accidente por MAP,META,VISTAHERMOSA,VISTAHERMOSA,2008,11,Accidente,50711,50,,Rural,1
Accidente por MAP,ANTIOQUIA,SONSÓN,SONSÓN,2007,4,Accidente,5756,5,,Rural,1
Accidente por MAP,GUAVIARE,SAN JOSÉ DEL GUAVIARE,SAN JOSÉ DEL GUAVIARE,2012,7,Accidente,95001,95,,Rural,1
Accidente por MAP,ANTIOQUIA,SAN RAFAEL,SAN RAFAEL,2006,3,Accidente,5667,5,,Rural,1
Accidente por MAP,CAUCA,POPAYÁN,POPAYÁN,2007,10,Accidente,19001,19,,Rural,1
Accidente por MAP,PUTUMAYO,PUERTO ASÍS,PUERTO ASÍS,2008,4,Accidente,86568,86,,Rural,1
Accidente por MAP,CORDOBA,PUERTO LIBERTADOR,PUERTO LIBERTADOR,2009,11,Accidente,23580,23,,Rural,1
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2010,1,Accidente,23807,23,,Rural,1
Accidente por MAP,NARIÑO,BARBACOAS,BARBACOAS,2010,1,Accidente,52079,52,,Rural,1
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,1,Accidente,5790,5,,Rural,1
Accidente por MAP,CAQUETA,PUERTO RICO,PUERTO RICO,2010,3,Accidente,18592,18,,Rural,1
Accidente por MAP,CAQUETA,FLORENCIA,FLORENCIA,2010,3,Accidente,18001,18,,Rural,1
