Tipo de evento,Departamento,Municipio,Corregimiento,Año,Mes,Evento,COD_DANE_MUNI,COD_DANE_DEPTO,Tipo de lugar,Tipo de area,Rotulo,Lat,Lon,Address
Accidente por MAP,NORTE DE SANTANDER,TIBÚ,TIBÚ,2009,9,Accidente,54810,54,,Rural,1,8.642356,-72.737733,"Tibú, Tibú, North Santander, Colombia"
Accidente por MAP,ARAUCA,PUERTO RONDÓN,PUERTO RONDÓN,2010,2,Accidente,81591,81,,Rural,1,6.281167,-71.1047959,"Puerto Rondón, Puerto Rondón, Arauca, Colombia"
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2010,2,Accidente,52678,52,,Rural,1,1.332614,-77.586155,"Samaniego, Samaniego, Narino, Colombia"
Accidente por MAP,CAQUETA,MONTAÑITA,LA MONTAÑITA,2010,2,Accidente,18410,18,,Rural,1,1.47888,-75.43724,"La Montanita, La Montañita, Caquetá, Colombia"
Accidente por MAP,ARAUCA,TAME,TAME,2009,2,Accidente,81794,81,,Rural,1,6.457094,-71.745515,"Tame, Tame, Arauca, Colombia"
Accidente por MAP,CAQUETA,MONTAÑITA,LA MONTAÑITA,2010,2,Accidente,18410,18,,Rural,1,1.47888,-75.43724,"La Montanita, La Montañita, Caquetá, Colombia"
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2010,2,Accidente,23807,23,,Rural,1,8.171571,-76.062313,"Tierralta, Tierralta, Córdoba, Colombia"
Accidente por MAP,GUAVIARE,MIRAFLORES,MIRAFLORES,2010,2,Accidente,95200,95,en sobre cerca rivera de un rio,Rural,1,1.44582,-72.06858,"Guaviare, Miraflores, Guaviare, Colombia"
Accidente por MAP,TOLIMA,RIOBLANCO,RIOBLANCO,2010,2,Accidente,73616,73,,Rural,1,3.530079,-75.643671,"Rioblanco, Rioblanco, Tolima, Colombia"
Accidente por MAP,META,MAPIRIPÁN,MAPIRIPÁN,2010,1,Accidente,50325,50,,Rural,1,2.892506,-72.133175,"Mapiripán, Mapiripán, Meta, Colombia"
Accidente por MAP,CORDOBA,CIÉNAGA DE ORO,CIÉNAGA DE ORO,2009,3,Accidente,23189,23,,Rural,1,8.879215,-75.621332,"Ciénaga de Oro, Ciénaga de Oro, Cordoba, Colombia"
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2010,2,Accidente,23807,23,,Rural,1,8.171571,-76.062313,"Tierralta, Tierralta, Córdoba, Colombia"
Accidente por MAP,ARAUCA,TAME,TAME,2010,1,Accidente,81794,81,,Rural,1,6.457094,-71.745515,"Tame, Tame, Arauca, Colombia"
Accidente por MAP,PUTUMAYO,PUERTO ASÍS,PUERTO ASÍS,2010,2,Accidente,86568,86,,Rural,1,0.504929,-76.500191,"Puerto Asís, Puerto Asís, Putumayo, Colombia"
Accidente por MAP,ANTIOQUIA,SAN CARLOS,SAN CARLOS,2000,10,Accidente,5649,5,,Rural,1,6.187979,-74.993227,"San Carlos, San Carlos, Antioquia, Colombia"
Accidente por MAP,GUAVIARE,CALAMAR,CALAMAR,2010,1,Accidente,95015,95,,Rural,1,1.06539,-73.2603199,"Guaviare, Calamar, Guaviare, Colombia"
Accidente por MAP,GUAVIARE,MIRAFLORES,MIRAFLORES,2010,2,Accidente,95200,95,en sobre cerca rivera de un rio,Rural,1,1.44582,-72.06858,"Guaviare, Miraflores, Guaviare, Colombia"
Accidente por MAP,GUAVIARE,MIRAFLORES,MIRAFLORES,2010,2,Accidente,95200,95,en sobre cerca rivera de un rio,Rural,1,1.44582,-72.06858,"Guaviare, Miraflores, Guaviare, Colombia"
Accidente por MAP,NORTE DE SANTANDER,HACARÍ,HACARÍ,2010,2,Accidente,54344,54,,Rural,1,8.32043,-73.14481,"Hacari, Hacarí, Norte de Santander, Colombia"
Accidente por MAP,HUILA,ALGECIRAS,ALGECIRAS,2010,2,Accidente,41020,41,,Rural,1,2.523477,-75.3156939,"Algeciras, Algeciras, Huila, Colombia"
Accidente por MAP,ANTIOQUIA,APARTADÓ,APARTADÓ,2008,8,Accidente,5045,5,,Rural,1,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
Accidente por MAP,NORTE DE SANTANDER,LA PLAYA,LA PLAYA,2010,1,Accidente,54398,54,,Rural,1,8.214035,-73.237889,"La Playa, La Playa, Norte de Santander, Colombia"
Accidente por MAP,NORTE DE SANTANDER,LA PLAYA,LA PLAYA,2003,5,Accidente,54398,54,,Rural,1,8.214035,-73.237889,"La Playa, La Playa, Norte de Santander, Colombia"
Accidente por MAP,PUTUMAYO,VALLE DEL GUAMUEZ,LA HORMIGA,2008,8,Accidente,86865,86,,Rural,1,0.4015861,-76.7798172,"Valle del Guamuez, Putumayo, Colombia"
Accidente por MAP,PUTUMAYO,VALLE DEL GUAMUEZ,LA HORMIGA,2008,8,Accidente,86865,86,,Rural,1,0.4015861,-76.7798172,"Valle del Guamuez, Putumayo, Colombia"
Accidente por MAP,META,VISTAHERMOSA,VISTAHERMOSA,2009,3,Accidente,50711,50,,Rural,1,3.127883,-73.752512,"Vista Hermosa, Vistahermosa, Meta, Colombia"
Accidente por MAP,META,VISTAHERMOSA,VISTAHERMOSA,2010,3,Accidente,50711,50,,Rural,1,3.127883,-73.752512,"Vista Hermosa, Vistahermosa, Meta, Colombia"
Accidente por MAP,NORTE DE SANTANDER,HACARÍ,HACARÍ,2010,3,Accidente,54344,54,,Rural,1,8.32043,-73.14481,"Hacari, Hacarí, Norte de Santander, Colombia"
Accidente por MAP,HUILA,ISNOS,SAN JOSÉ DE ISNOS,2010,3,Accidente,41359,41,,Rural,1,1.949887,-76.212502,"Isnos, San José de Isnos, San José de Isnos, Huila, Colombia"
Accidente por MAP,NORTE DE SANTANDER,ÁBREGO,ÁBREGO,2010,3,Accidente,54003,54,Camino,Rural,1,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Accidente por MAP,NORTE DE SANTANDER,HACARÍ,HACARÍ,2010,4,Accidente,54344,54,,Rural,1,8.32043,-73.14481,"Hacari, Hacarí, Norte de Santander, Colombia"
Accidente por MAP,CAUCA,CORINTO,CORINTO,2010,4,Accidente,19212,19,Sendero,Rural,1,3.174159,-76.258802,"Corinto, Corinto, Cauca Department, Colombia"
Accidente por MAP,ARAUCA,TAME,TAME,2010,4,Accidente,81794,81,Canos,Rural,1,6.457094,-71.745515,"Tame, Tame, Arauca, Colombia"
Accidente por MAP,NORTE DE SANTANDER,ÁBREGO,ÁBREGO,2010,4,Accidente,54003,54,,Rural,1,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
Accidente por MAP,NORTE DE SANTANDER,ÁBREGO,ÁBREGO,2010,4,Accidente,54003,54,,Rural,1,8.0762129,-73.222102,"Abrego, Abrego, Norte de Santander, Colombia"
