Event Date,Number of Victims,State,City,Location,Authorship,Source,Lat,Lon,Address
1996-10-21,5,Antioquia,Apartado,Fincas Cabo de Hornos y Flores Negras,Guerrilla-FARC ,Noche y Niebla # 2 Pp. 86,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1996-11-02,4,Antioquia,Apartado,Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 2 Pp. 95 Caso Tipo En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1996-11-22,5,Antioquia,Apartado,Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 2 Pp. 98  Caso Tipo deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1997-01-21,4,Antioquia,Apartado,Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 3 Pp. 26 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1997-02-28,4,Antioquia,Apartado,IPD San José de Apartado,Grupos Paramilitares,Noche y Niebla # 3 Pp. 37 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Fusil o Toga. Toga y Fusil. El Estado contra la comunidad de paz de San José de Apartado Pp. 32-33,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1997-03-03,5,Antioquia,Apartado,IPD San José de Apartado-Vereda La Victoria ,Grupos Paramilitares,Noche y Niebla # 3 Pp. 47,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1997-12-11,4,Antioquia,Apartado,IPD San José de Apartado-Vereda Los Mandarinos,Guerrilla-FARC ,Noche y Niebla # 6 Pp. 125,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1998-09-03,4,Antioquia,Apartado,Vereda Tres Esquinas,Guerrilla-FARC ,Noche y Niebla # 9 Pp. 78,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1998-11-30,4,Antioquia,Apartado,Vereda San Pablo,Guerrilla-FARC ,Noche y Niebla # 10 Pp. 79,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
1999-01-08,8,Antioquia,Apartado,Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 11 Pp. 39 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 262 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 35,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
2000-02-19,5,Antioquia,Apartado,IPD San José de Apartado,Fuerza Pública-Ejército Nacional,Noche y Niebla # 15 Pp. 34 Fusil o Toga. Toga y Fusil. El Estado contra la comunidad de paz de San José de Apartado Pp. 54,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
