Event Date,Number of Victims,State,City,Location,Authorship,Source,Lat,Lon,Address
1983-08-29,4,Cesar,Agustin Codazzi,Zona Rural,Grupos Paramilitares,"Enterrar y Callar Pp. 122 EL TIEMPO, 30 de agosto de 1983, p. 3A; CPDH",10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
1994-01-22,5,Cesar,Agustin Codazzi,Finca El Espíritu,Grupo Armado No Identificado,Boletín Informativo Justicia y Paz Vol. 7 No 1 Pp. 26 Unidad de Justicia y Paz. Masacres en el Cesar,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
1995-05-01,7,Cesar,Agustin Codazzi,Zona Rural,Grupos Paramilitares,Boletín Justicia y Paz Vol 8 No 2 Pp. 64 Caso Tipo Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2008,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
1997-02-11,4,Cesar,Agustin Codazzi,Corregimiento Casacará,Guerrilla-FARC ,Noche y Niebla # 3 Pp. 98,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
1997-11-04,4,Cesar,Agustin Codazzi,Corregimiento Casacará,Grupos Paramilitares,"Noche y Niebla # 6 Pp. 33 Audiencia de Imputación Jhon Jairo Esquivel Cuadrado, alias ""El Tigre"", 7 de Noviembre de 2008",10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
1999-07-17,4,Cesar,Agustin Codazzi,Cabecera Municipal,Grupo Armado No Identificado,Noche y Niebla # 13 Pp. 58 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 86,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
1999-09-21,6,Cesar,Agustin Codazzi,Cabecera Municipal,Grupo Armado No Identificado,Unidad de Justicia y Paz. Masacres en el Cesar Pp. 22,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
1999-09-21,6,Cesar,Agustin Codazzi,Corregimiento Llerasca-Vereda El Carrizal,Grupos Paramilitares,"Noche y Niebla # 13 Pp. 137 Versión Libre de Salvatore Mancuso el 16 de Enero de 2009 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 274 Unidad de Justicia y Paz. Masacres en el Cesar Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 89 Audiencia de Imputación Jhon Jairo Esquivel Cuadrado, 7 de Noviembre de 2008",10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
2000-05-16,6,Cesar,Agustin Codazzi,Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 16 Pp. 124 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Unidad de Justicia y Paz. Masacres en el Cesar,10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
2000-05-18,5,Cesar,Agustin Codazzi,Corregimiento Casacará,Grupos Paramilitares,"Noche y Niebla # 16 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Versión Libre John Jairo Esquivel Cuadrado, alias ""El Tigre"". Barranquilla, 10 de Diciembre de 2007 Unidad de Justicia y Paz. Masacres en el Cesar",10.034716,-73.237105,"Codazzi, Agustín Codazzi, Cesar, Colombia"
