Event Date,Event Type,Day,Month,Year,State,City,Location,Property Type,Authorship 1,Authorship 2,Fatal Victims,Injured,Source,Lat,Lon,Address
1991-01-10,Quema de Vehículos,10,1,1991,Meta,Acacías,Cruce de San Carlos,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 36",3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
1991-06-06,Sabotaje,6,6,1991,Meta,Acacías,Vía a Villavicencio,Infraestructura Víal,Guerrilla,Guerrilla-FARC,,,"Boletín Informativo Justicia y Paz. Volumen 4, #2. PP. 105",3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
1992-09-19,Sabotaje,19,9,1992,Meta,Acacías,Zona Rural,Infraestructura Víal,Guerrilla,Guerrilla-CGSB,,,Justicia y Paz Vol 5 #3,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
1997-12-22,Quema de Vehículos,22,12,1997,Meta,Acacías,IP Dinamarca,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 6. Pp. 134,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
1999-08-13,Sabotaje,13,8,1999,Meta,Acacías,Vía a Villavicencio,Medios de Transporte - Infraestructura Víal,Guerrilla,Guerrilla-FARC,,,Noche y Niebla #13. Pp. 85,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
2000-11-20,Ataque a Instituciones,20,11,2000,Meta,Acacías,Cabecera Municipal,Entidades Públicas,Guerrilla,Guerrilla-FARC, ,,Revista Noche y Niebla # 18 Noviembre Pp. 153,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
2001-11-20,Sabotaje,20,11,2001,Meta,Acacías,Sitio La Cuncia,Infraestructura Eléctrica,Guerrilla,Guerrilla-Sin Identificar,,, Noche y Niebla # 22 Pp. 66,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
2001-12-08,Sabotaje-Quema de Vehículos,8,12,2001,Meta,Acacías,Peaje Sardinata,Infraestructura Víal - Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 22 Pp. 85,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
2002-01-21,Quema de Vehículos,21,1,2002,Meta,Acacías,,Medios de Transporte,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 23 Pp. 29,3.991663,-73.766129,"Acacias, Acacías, Meta, Colombia"
1991-02-10,Ataque a Propiedad,10,2,1991,Chocó,Acandí,Ensenada Trigana,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 81",8.510109,-77.27898,"Acandí, Acandí, Chocó, Colombia"
1991-02-13,Quema de Vehículos,13,2,1991,Chocó,Acandí,,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 83",8.510109,-77.27898,"Acandí, Acandí, Chocó, Colombia"
1999-12-11,Acciones Bélicas,11,12,1999,Chocó,Acandí,Cabecera Municipal,Vivienda,Guerrilla,Guerrilla-FARC,,,,8.510109,-77.27898,"Acandí, Acandí, Chocó, Colombia"
1996-09-14,Ataque a Instituciones,14,9,1996,Huila,Acevedo,,Entidades Públicas,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 1. Pp. 78,1.805165,-75.88834,"Acevedo, Acevedo, Huila, Colombia"
1998-11-06,Quema de Vehículos,6,11,1998,Huila,Acevedo,,Medios de Transporte,Guerrilla,Guerrilla-FARC,,,Noche y Niebla #10. Pp. 62,1.805165,-75.88834,"Acevedo, Acevedo, Huila, Colombia"
2001-09-02,Acciones Bélicas-Ataque a Instituciones,2,9,2001,Huila,Acevedo,IP San Adolfo,Entidades Públicas/Vivienda,Guerrilla,Guerrilla-FARC,,,,1.805165,-75.88834,"Acevedo, Acevedo, Huila, Colombia"
2002-10-28,Ataque a Propiedad,28,10,2002,Huila,Acevedo,Vereda La Barniza,Infraestructura Empresarial,Guerrilla,Guerrilla-FARC,,, Noche y Niebla # 26 Pp. 42,1.805165,-75.88834,"Acevedo, Acevedo, Huila, Colombia"
